NA_Jac,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.7755758,44.32840833,31.86619701,,,,,,,,,,,,,,,,
2,11.78516544,16.26925528,12.02202567,,,,,Rada Similarity,,,Jac,,,Dice,,,Cos,,
3,7.346668582,9.414557825,7.192488079,,,,N,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure
,,,,,,,1,28.41%,48.32%,31.95%,69.80%,56.92%,57.38%,72.10%,50.80%,54.10%,71.53%,56.35%,57.29%
,,,,,,,2,12%,19.03%,12.93%,61.29%,47.38%,48.81%,57%,39.10%,42.40%,63%,47.09%,48.85%
NV_Jac,,,,,,,3,763.84%,11.31%,7.92%,58.80%,44.79%,46.41%,53.10%,35.70%,39.30%,60.45%,44.51%,46.43%
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.85619952,43.0733174,31.40713723,,,,,,,,,,,,,,,,
2,11.52210648,15.33197396,11.49634612,,,,,,,,,,,,,,,,
3,7.080154728,8.703488214,6.762972091,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAV_Jac,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.70702984,43.40231463,31.54339976,,,,,,,,,,,,,,,,
2,11.44023506,15.46972578,11.55421077,,,,,,,,,,,,,,,,
3,6.968915099,8.730776236,6.756740027,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NA_Dice,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.75189191,44.82899602,32.00176362,,,,,,,,,,,,,,,,
2,11.8344907,16.59074746,12.15182343,,,,,,,,,,,,,,,,
3,7.392183525,9.627722923,7.289957718,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NV_Dice,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.61623625,43.19014871,31.29556648,,,,,,,,,,,,,,,,
2,11.34251316,15.33663369,11.39590801,,,,,,,,,,,,,,,,
3,6.902214495,8.640278118,6.644041958,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAV_Dice,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,29.64280319,43.67021904,31.57978504,,,,,,,,,,,,,,,,
2,11.48130118,15.63898301,11.63265797,,,,,,,,,,,,,,,,
3,7.011924296,8.836050495,6.81464834,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NA_Rada,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,28.40700127,48.31721138,31.95356833,,,,,,,,,,,,,,,,
2,12.01559497,19.03471457,12.93301327,,,,,,,,,,,,,,,,
3,7.638416705,11.31350483,7.922735813,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NV_Rada,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,27.89799168,47.59124029,31.40484935,,,,,,,,,,,,,,,,
2,11.35864088,17.84975117,12.1244481,,,,,,,,,,,,,,,,
3,7.084234027,10.27905861,7.24347893,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NAV_Rada,,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,27.79536036,47.81441439,31.34656245,,,,,,,,,,,,,,,,
2,11.44092401,18.11461648,12.24327698,,,,,,,,,,,,,,,,
3,7.175731737,10.46533819,7.356134664,,,,,,,,,,,,,,,,
